priority,score,system,year,project_document,why_it_matters,captures,unique_versions,mime_type,original,archive_exact,archive_history
HIGH,9,Contracts / Bids,2020,04 Advertisement for Bids St Maint Slurry Seal Coating.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-54-53/04%20-%20Advertisement%20for%20Bids%20St%20Maint%20Slurry%20Seal%20Coating.pdf,https://web.archive.org/web/20201019154401/https://www.copperascovetx.gov/files/finance/bid_requests/2020-54-53/04%20-%20Advertisement%20for%20Bids%20St%20Maint%20Slurry%20Seal%20Coating.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-54-53/04%20-%20Advertisement%20for%20Bids%20St%20Maint%20Slurry%20Seal%20Coating.pdf
HIGH,9,Contracts / Bids,2020,2020 05 07 Meeting Minutes Pre Bid Conference Agenda CC The Narrows Sidewalks.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/2020-05-07%20Meeting%20Minutes%20Pre-Bid%20Conference%20Agenda%20-%20CC%20The%20Narrows%20Sidewalks.pdf,https://web.archive.org/web/20200605122425/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/2020-05-07%20Meeting%20Minutes%20Pre-Bid%20Conference%20Agenda%20-%20CC%20The%20Narrows%20Sidewalks.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/2020-05-07%20Meeting%20Minutes%20Pre-Bid%20Conference%20Agenda%20-%20CC%20The%20Narrows%20Sidewalks.pdf
HIGH,9,Contracts / Bids,2020,2020 05 07 Meeting Minutes Pre Bid Conference Agenda CC The Narrows Sidewalks.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/2020-05-07%20Meeting%20Minutes%20Pre-Bid%20Conference%20Agenda%20-%20CC%20The%20Narrows%20Sidewalks.pdf,https://web.archive.org/web/20201027024547/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/2020-05-07%20Meeting%20Minutes%20Pre-Bid%20Conference%20Agenda%20-%20CC%20The%20Narrows%20Sidewalks.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/2020-05-07%20Meeting%20Minutes%20Pre-Bid%20Conference%20Agenda%20-%20CC%20The%20Narrows%20Sidewalks.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/20200605095913/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%201.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/20200605122431/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%201.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/20201019161015/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%201.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/20200605122520/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/ADDENDUM%20NO.%201.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 2.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/20200605100746/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%202.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 2.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/20200605122438/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%202.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 2.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/20201019151749/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/ADDENDUM%20NO.%202.pdf
HIGH,9,Contracts / Bids,2020,ADDENDUM NO. 2.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/20200605122529/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/ADDENDUM%20NO.%202.pdf
HIGH,9,Contracts / Bids,2020,Addendum 01.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-54-53/Addendum%2001.pdf,https://web.archive.org/web/20201019150717/https://www.copperascovetx.gov/files/finance/bid_requests/2020-54-53/Addendum%2001.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-54-53/Addendum%2001.pdf
HIGH,9,Contracts / Bids,2020,Addendum 01.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-56-84/Addendum%2001.pdf,https://web.archive.org/web/20201027035900/https://www.copperascovetx.gov/files/finance/bid_requests/2020-56-84/Addendum%2001.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-56-84/Addendum%2001.pdf
HIGH,9,Contracts / Bids,2020,Addendum 02.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-56-84/Addendum%2002.pdf,https://web.archive.org/web/20201019150330/https://www.copperascovetx.gov/files/finance/bid_requests/2020-56-84/Addendum%2002.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-56-84/Addendum%2002.pdf
HIGH,9,Contracts / Bids,2020,Addendum 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-14-54/Addendum%201.pdf,https://web.archive.org/web/20201027030404/https://www.copperascovetx.gov/files/finance/bid_requests/2020-14-54/Addendum%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-14-54/Addendum%201.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 01.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/Addendum%20No.%2001.pdf,https://web.archive.org/web/20201027033900/https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/Addendum%20No.%2001.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/Addendum%20No.%2001.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 01.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2001.pdf,https://web.archive.org/web/20201019155410/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2001.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2001.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 02.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/Addendum%20No.%2002.pdf,https://web.archive.org/web/20201018201859/https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/Addendum%20No.%2002.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/Addendum%20No.%2002.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 02.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2002.pdf,https://web.archive.org/web/20201027023727/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2002.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2002.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 03.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2003.pdf,https://web.archive.org/web/20201027031515/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2003.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2003.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 04.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2004.pdf,https://web.archive.org/web/20201019160827/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2004.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2004.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 05.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2005.pdf,https://web.archive.org/web/20201019151218/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2005.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2005.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 07.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2007.pdf,https://web.archive.org/web/20201027041425/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2007.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2007.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 08.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2008.pdf,https://web.archive.org/web/20201019152458/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2008.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2008.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 09.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2009.pdf,https://web.archive.org/web/20201019160114/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2009.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2009.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Addendum%20No.%201.pdf,https://web.archive.org/web/20200605095459/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Addendum%20No.%201.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Addendum%20No.%201.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Addendum%20No.%201.pdf,https://web.archive.org/web/20201019162513/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Addendum%20No.%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Addendum%20No.%201.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-52-82/Addendum%20No.%201.pdf,https://web.archive.org/web/20201027031752/https://www.copperascovetx.gov/files/finance/bid_requests/2020-52-82/Addendum%20No.%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-52-82/Addendum%20No.%201.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-58-82/Addendum%20No.%201.pdf,https://web.archive.org/web/20201027025623/https://www.copperascovetx.gov/files/finance/bid_requests/2020-58-82/Addendum%20No.%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-58-82/Addendum%20No.%201.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 10.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2010.pdf,https://web.archive.org/web/20201019155848/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2010.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2010.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 11.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2011.pdf,https://web.archive.org/web/20201019150859/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2011.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2011.pdf
HIGH,9,Contracts / Bids,2020,Addendum No. 2.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Addendum%20No.%202.pdf,https://web.archive.org/web/20200605095506/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Addendum%20No.%202.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Addendum%20No.%202.pdf
HIGH,9,Contracts / Bids,2020,Advertisement for Bids.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/Advertisement%20for%20Bids.pdf,https://web.archive.org/web/20200605122536/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/Advertisement%20for%20Bids.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-55-92/Advertisement%20for%20Bids.pdf
HIGH,9,Contracts / Bids,2020,Advertisement for Bids.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-57-82/Advertisement%20for%20Bids.pdf,https://web.archive.org/web/20201027033951/https://www.copperascovetx.gov/files/finance/bid_requests/2020-57-82/Advertisement%20for%20Bids.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-57-82/Advertisement%20for%20Bids.pdf
HIGH,9,Contracts / Bids,2020,Advertisement for Bids.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-61-53/Advertisement%20for%20Bids.pdf,https://web.archive.org/web/20201019152606/https://www.copperascovetx.gov/files/finance/bid_requests/2020-61-53/Advertisement%20for%20Bids.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-61-53/Advertisement%20for%20Bids.pdf
HIGH,9,Contracts / Bids,2020,BID 2019 10.54.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/BID%202019-10.54.pdf,https://web.archive.org/web/20200605095528/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/BID%202019-10.54.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/BID%202019-10.54.pdf
HIGH,9,Contracts / Bids,2020,CC The Narrows Invitation to Bid.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/CC%20The%20Narrows%20Invitation%20to%20Bid.pdf,https://web.archive.org/web/20200605122445/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/CC%20The%20Narrows%20Invitation%20to%20Bid.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2020-16-61/CC%20The%20Narrows%20Invitation%20to%20Bid.pdf
HIGH,9,Contracts / Bids,2020,CC The Narrows Invitation to Bid.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CC%20The%20Narrows%20Invitation%20to%20Bid.pdf,https://web.archive.org/web/20201027032731/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CC%20The%20Narrows%20Invitation%20to%20Bid.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CC%20The%20Narrows%20Invitation%20to%20Bid.pdf
HIGH,9,Contracts / Bids,2020,COCC City Hall Roof Rehab Project.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/COCC%20City%20Hall%20Roof%20Rehab%20Project.pdf,https://web.archive.org/web/20201019161635/https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/COCC%20City%20Hall%20Roof%20Rehab%20Project.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-15-75/COCC%20City%20Hall%20Roof%20Rehab%20Project.pdf
HIGH,9,Contracts / Bids,2020,City 3x11 Bid no 17 81.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/City%203x11%20Bid%20no%2017-81.pdf,https://web.archive.org/web/20201027031657/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/City%203x11%20Bid%20no%2017-81.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/City%203x11%20Bid%20no%2017-81.pdf
HIGH,9,Contracts / Bids,2020,Copperas Cove Park Improvements Ph 2 Restrooms 2019 10 17.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Copperas%20Cove%20Park%20Improvements%20Ph%202%20Restrooms%202019-10-17.pdf,https://web.archive.org/web/20200605095848/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Copperas%20Cove%20Park%20Improvements%20Ph%202%20Restrooms%202019-10-17.pdf,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/files/finance/bid_requests/2019-10-54/Copperas%20Cove%20Park%20Improvements%20Ph%202%20Restrooms%202019-10-17.pdf
HIGH,9,Contracts / Bids,2020,PW 2020 58 82 S Meadows WL Imp Project.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-58-82/PW%202020-58-82-S%20Meadows%20WL%20Imp%20Project.pdf,https://web.archive.org/web/20201027040308/https://www.copperascovetx.gov/files/finance/bid_requests/2020-58-82/PW%202020-58-82-S%20Meadows%20WL%20Imp%20Project.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-58-82/PW%202020-58-82-S%20Meadows%20WL%20Imp%20Project.pdf
HIGH,9,Contracts / Bids,2020,PW 2020 59 53 St Maint HMAC Mill and Overlay.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-59-53/PW%202020-59-53%20St%20Maint%20HMAC%20Mill%20and%20Overlay.pdf,https://web.archive.org/web/20201019152957/https://www.copperascovetx.gov/files/finance/bid_requests/2020-59-53/PW%202020-59-53%20St%20Maint%20HMAC%20Mill%20and%20Overlay.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-59-53/PW%202020-59-53%20St%20Maint%20HMAC%20Mill%20and%20Overlay.pdf
HIGH,9,Contracts / Bids,2020,RFP 2020 18 54 Parks Sports Officiating Services.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-18-54/RFP%202020-18-54%20Parks%20Sports%20Officiating%20Services.pdf,https://web.archive.org/web/20201027025447/https://www.copperascovetx.gov/files/finance/bid_requests/2020-18-54/RFP%202020-18-54%20Parks%20Sports%20Officiating%20Services.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-18-54/RFP%202020-18-54%20Parks%20Sports%20Officiating%20Services.pdf
HIGH,9,Contracts / Bids,2020,RFQ 2020 14 54.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-14-54/RFQ%202020-14-54.pdf,https://web.archive.org/web/20201027034417/https://www.copperascovetx.gov/files/finance/bid_requests/2020-14-54/RFQ%202020-14-54.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-14-54/RFQ%202020-14-54.pdf
HIGH,9,Contracts / Bids,2022,Addendum1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2022-01-54/Addendum1.pdf,https://web.archive.org/web/20220321123217/https://www.copperascovetx.gov/files/finance/bid_requests/2022-01-54/Addendum1.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2022-01-54/Addendum1.pdf
HIGH,9,Contracts / Bids,2022,Addendum1.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2022-02-54/Addendum1.pdf,https://web.archive.org/web/20220321062429/https://www.copperascovetx.gov/files/finance/bid_requests/2022-02-54/Addendum1.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2022-02-54/Addendum1.pdf
HIGH,9,Contracts / Bids,2022,addendum3.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2021-08-44/addendum3.pdf,https://web.archive.org/web/20220321090700/https://www.copperascovetx.gov/files/finance/bid_requests/2021-08-44/addendum3.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2021-08-44/addendum3.pdf
HIGH,9,Contracts / Bids,2022,addendum4.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2021-03-92/addendum4.pdf,https://web.archive.org/web/20220321100718/https://www.copperascovetx.gov/files/finance/bid_requests/2021-03-92/addendum4.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2021-03-92/addendum4.pdf
HIGH,9,Contracts / Bids,2024,ADDENDUM NO. 2.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/20240730055741/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%202.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%202.pdf
HIGH,9,Contracts / Bids,2024,Addendum No. 2.pdf,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Addendum%20No.%202.pdf,https://web.archive.org/web/20240719023323/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Addendum%20No.%202.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Addendum%20No.%202.pdf
HIGH,9,Contracts / Bids,2025,2019 01 Fiscal Year 2018 2019 Budget Amendment PDF,priority category; infrastructure/money keyword; financial/project keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/449/2019-01-Fiscal-Year-2018-2019-Budget-Amendment-PDF?bidId=,https://web.archive.org/web/20250929020205/https://www.copperascovetx.gov/DocumentCenter/View/449/2019-01-Fiscal-Year-2018-2019-Budget-Amendment-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/449/2019-01-Fiscal-Year-2018-2019-Budget-Amendment-PDF?bidId=
